Result_ID	Unique_Seq_ID
1	1
2	2
5	3
7	3
9	2
12	3
14	3
16	3
18	3
20	4
22	3
24	2
27	3
29	5
31	3
33	3
35	6
39	3
41	5
43	5
45	3
47	3
49	3
51	3
53	2
56	7
59	3
61	3
63	3
65	3
67	3
69	3
71	8
73	3
75	3
77	3
79	3
81	3
83	3
85	3
87	9
89	10
92	3
94	3
96	3
98	3
100	3
102	3
104	11
106	12
110	3
112	13
114	3
116	14
117	3
119	3
121	15
123	3
125	16
137	17
138	11
140	18
145	16
157	17
158	3
160	19
165	20
166	21
167	3
169	19
174	22
203	3
205	23
206	24
208	23
209	25
212	26
215	27
218	28
220	29
222	30
223	11
225	23
226	31
227	3
229	32
230	20
231	3
233	33
234	3
236	34
237	35
239	32
240	36
241	20
242	37
243	3
245	38
246	39
247	3
249	23
250	40
251	41
252	28
254	42
258	43
259	44
261	45
269	3
271	46
272	47
274	40
275	48
277	49
279	40
280	3
282	50
283	51
285	31
286	52
290	52
294	52
298	53
301	54
303	55
306	53
309	56
313	57
316	58
317	41
318	41
319	31
320	3
322	55
325	41
326	53
329	3
331	23
332	59
334	3
336	57
339	9
341	32
342	55
345	60
347	33
348	61
349	62
355	63
356	57
359	55
362	64
363	3
365	65
368	3
370	58
371	58
372	3
374	66
378	67
381	57
384	58
385	68
392	62
398	57
401	57
404	58
405	69
408	37
409	70
411	58
412	3
414	57
417	69
420	57
423	71
425	45
433	2
436	57
439	72
441	2
444	73
445	74
465	32
466	57
469	57
472	75
474	76
476	77
478	78
479	79
481	80
482	81
483	16
495	17
496	82
497	83
498	57
501	57
504	57
507	84
509	85
511	86
512	16
524	17
525	87
527	88
530	73
531	35
533	83
534	89
537	52
541	36
542	57
545	90
550	91
552	12
556	20
557	92
563	93
564	94
568	3
570	57
573	49
575	58
576	95
581	55
584	96
587	97
589	98
591	99
592	100
595	57
598	57
601	73
602	101
606	57
609	57
612	102
615	103
617	84
619	68
626	48
628	55
631	103
633	104
639	3
641	79
643	105
645	106
648	107
650	58
651	3
653	108
654	109
656	84
658	87
660	57
663	57
666	28
668	110
669	111
673	87
675	12
679	52
683	112
684	113
685	28
687	31
688	114
689	115
690	116
691	117
693	118
695	118
697	87
699	41
700	119
704	13
706	47
708	120
710	82
711	121
715	58
716	103
718	113
719	104
725	122
726	3
728	58
729	115
730	123
732	58
733	124
734	125
738	103
740	3
742	103
744	88
747	126
756	3
758	127
759	57
762	38
763	3
765	128
767	57
770	52
774	113
775	87
777	129
787	103
789	130
791	103
793	57
796	82
797	84
799	131
802	132
806	133
809	134
811	135
812	103
814	57
817	136
820	137
821	138
822	73
823	139
826	58
827	108
828	140
837	141
842	142
844	143
854	144
858	145
860	58
861	146
862	147
863	59
865	24
867	148
868	41
869	149
874	146
875	58
876	150
878	64
879	151
880	118
882	152
883	27
886	104
892	94
896	153
897	103
899	58
900	128
902	154
904	120
906	69
909	93
910	52
914	154
916	62
922	3
924	82
925	155
926	156
930	157
933	158
935	159
936	103
938	160
939	134
941	147
942	40
943	161
955	162
956	163
957	130
959	53
962	164
963	165
964	130
966	157
969	166
970	167
972	168
974	52
978	169
980	170
981	171
983	118
985	94
989	172
990	173
993	134
995	87
997	174
998	175
999	58
1000	96
1003	103
1005	134
1007	3
1009	53
1012	129
1022	176
1023	2
1026	177
1031	12
1035	155
1036	58
1037	88
1040	178
1041	103
1043	86
1044	179
1045	180
1055	134
1057	134
1059	181
1061	182
1062	183
1063	184
1064	185
1069	58
1070	57
1073	186
1076	134
1078	187
1084	188
1086	58
1087	189
1089	190
1090	134
1092	191
1093	57
1096	57
1099	192
1100	193
1104	194
1110	194
1116	157
1119	195
1120	194
1126	196
1127	161
1139	162
1140	194
1146	134
1148	194
1154	58
1155	197
1156	74
1176	198
1177	58
1178	55
1181	57
1184	199
1185	3
1187	200
1189	201
1191	202
1193	58
1194	203
1198	204
1200	205
1203	129
1213	206
1217	207
1218	134
1220	208
1223	207
1224	3
1226	103
1228	209
1229	210
1235	211
1240	108
1241	118
1243	58
1244	212
1245	87
1247	213
1248	214
1250	215
1251	216
1252	115
1253	217
1254	218
1258	80
1259	219
1262	186
1265	216
1266	97
1268	95
1273	187
1279	58
1280	103
1282	58
1283	220
1286	169
1288	221
1295	222
1299	16
1311	17
1312	223
1314	224
1320	52
1324	210
1330	214
1332	52
1336	3
1338	40
1339	87
1341	225
1342	120
1344	226
1345	103
1347	227
1350	228
1351	229
1352	156
1356	3
1358	179
1359	230
1361	58
