Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
189	2	IodoAcet:14,IodoAcet:16	3437.71102
190	2	IodoAcet:14,IodoAcet:17	3096.50607
191	0		2584.28081
192	1	IodoAcet:13	2702.34851
193	1	IodoAcet:12	2506.11166
194	0		2967.54527
195	1	IodoAcet:22	4229.0843
196	2	IodoAcet:21,IodoAcet:22	3266.6096
197	2	IodoAcet:1,IodoAcet:15	3768.65178
198	2	IodoAcet:1,IodoAcet:16	3230.45436
199	0		2576.32736
200	0		2926.34488
201	4	IodoAcet:1,IodoAcet:5,IodoAcet:6,IodoAcet:19	2711.06136
202	0		2618.3339
203	2	IodoAcet:13,IodoAcet:15	3950.95448
204	0		2748.23359
205	0		2934.55636
206	0		2734.14115
207	1	IodoAcet:16	2994.39241
208	0		2529.20943
209	0		3092.58892
210	0		2506.16917
211	1	IodoAcet:6	3307.61415
212	0		3294.50234
213	0		2990.46602
214	0		3654.91768
215	1	IodoAcet:6	2505.09732
216	0		2347.0563
217	0		3234.67793
218	0		2606.12683
219	1	IodoAcet:6	2866.35946
220	0		2681.29316
221	0		2928.45374
222	1	IodoAcet:12	2988.54515
223	0		2788.29522
224	2	IodoAcet:33,IodoAcet:40	4384.11891
225	0		2756.38672
226	0		2415.23544
227	1	IodoAcet:3	2909.41492
228	0		3077.52051
229	1	IodoAcet:2	2790.24014
230	0		2702.35503
231	1	IodoAcet:27	2814.44452
232	1	IodoAcet:15	3568.77712
233	0		2464.20554
234	1	IodoAcet:7	2609.14915
235	0		3085.52897
236	1	IodoAcet:14	2762.33325
237	1	IodoAcet:11	2478.28994
238	0		2496.16685
239	1	IodoAcet:9	2561.27943
240	0		3455.72071
241	0		2943.41366
242	0		2944.49291
243	1	Plus1Oxy:27	3294.55352
244	1	IodoAcet:23	2707.33081
245	0		2931.39927
246	0		3919.88038
247	0		2539.21307
248	0		2443.23419
249	0		3001.60443
250	0		2903.37246
251	2	Plus1Oxy:9,IodoAcet:24	2806.31655
252	1	IodoAcet:18	2279.05274
253	1	IodoAcet:5	2249.96803
254	1	IodoAcet:4	3120.58
255	0		2966.58641
256	0		2616.35801
257	0		3595.63374
258	2	IodoAcet:12,IodoAcet:13	3069.33707
259	0		2573.22191
260	1	Plus1Oxy:15	2791.46761
261	1	IodoAcet:9	3766.86183
262	0		2033.94552
263	0		2728.27678
264	2	IodoAcet:41,IodoAcet:48	5112.46419
265	1	IodoAcet:10	2722.3271
266	2	IodoAcet:8,IodoAcet:11	2633.09569
267	1	Plus1Oxy:14	2889.3238
268	0		2889.25486
269	0		2971.38092
270	0		2503.15759
271	1	IodoAcet:6	2786.4424
272	1	IodoAcet:16	2638.09354
273	0		2591.28009
274	1	IodoAcet:12	2655.39003
275	0		2352.24364
276	0		3262.4748
277	0		2932.29322
278	2	IodoAcet:14,IodoAcet:21	2661.3287
279	0		2649.41248
280	1	Plus1Oxy:8	2522.16408
281	1	IodoAcet:1	3399.5386
282	1	IodoAcet:15	2771.27071
283	0		3038.42159
284	1	IodoAcet:19	2376.11673
285	0		2943.39993
286	0		3064.55629
287	0		2640.36051
288	1	IodoAcet:7	2462.17061
289	0		2449.2099
290	0		2949.38197
291	0		3091.59636
292	0		2343.14941
293	1	Plus1Oxy:7	2844.33739
294	1	IodoAcet:17	2427.15952
295	1	IodoAcet:15	3955.77193
296	0		2592.34811
297	2	IodoAcet:12,IodoAcet:15	2365.10412
298	0		2194.06133
299	0		2660.30405
300	0		2218.10894
301	0		2463.19166
302	1	Plus1Oxy:16	3250.67285
303	0		2244.12862
304	0		2446.15323
305	2	IodoAcet:4,IodoAcet:24	3726.64208
306	2	IodoAcet:18,IodoAcet:37	4885.42977
307	0		3064.56502
308	1	IodoAcet:7	2375.263
309	1	IodoAcet:17	2740.21862
310	2	IodoAcet:3,IodoAcet:9	3567.74886
311	0		2752.35879
312	1	IodoAcet:2	2403.08338
313	0		2937.45255
314	1	IodoAcet:10	2442.18614
315	1	IodoAcet:24	2816.37367
316	0		2492.15534
317	2	IodoAcet:7,IodoAcet:18	3324.58656
318	1	IodoAcet:20	3748.93439
319	1	IodoAcet:8	2923.33331
320	1	IodoAcet:11	2646.23446
321	0		2984.38856
322	3	IodoAcet:5,IodoAcet:14,IodoAcet:17	2972.45569
323	1	IodoAcet:13	2514.12596
324	0		2467.18408
325	0		2514.37662
326	0		3392.62649
327	0		2720.1949
328	0		2553.29612
329	1	IodoAcet:7	2249.0105
330	0		2624.2692
331	1	IodoAcet:6	2637.16519
332	0		2711.30775
333	1	IodoAcet:30	3522.65933
334	0		3186.65594
335	1	Plus1Oxy:18	2986.50684
336	0		3468.68947
337	1	IodoAcet:21	2503.18745
338	0		2806.32307
339	0		2904.34122
340	0		2751.48189
341	1	IodoAcet:16	3493.63395
342	0		2689.36652
343	0		2932.44616
344	0		2660.29032
345	1	IodoAcet:6	2418.20344
346	0		2693.44406
347	0		2936.42378
348	1	IodoAcet:16	2393.07791
349	2	IodoAcet:8,IodoAcet:15	2299.05718
350	0		2853.36671
351	0		2644.3747
352	3	IodoAcet:3,Plus1Oxy:15,IodoAcet:18	3549.61878
353	0		3094.5246
354	0		2823.33099
355	3	Plus1Oxy:1,IodoAcet:9,IodoAcet:13	2338.07884
356	0		3119.55373
357	0		2796.35648
358	1	IodoAcet:20	2577.18784
359	0		2596.19749
360	0		2160.99965
361	1	IodoAcet:15	2519.15384
362	1	IodoAcet:14	2502.10551
363	1	IodoAcet:18	2676.33286
364	0		2937.48307
365	0		3059.57149
366	0		2867.50677
367	1	IodoAcet:14	2649.30083
368	0		2743.49073
369	0		3277.6438
370	0		2454.17472
371	0		2509.23353
372	0		2176.99456
373	2	IodoAcet:15,IodoAcet:18	2324.06768
374	1	IodoAcet:3	3069.5089
375	0		2471.21135
376	0		2452.20151
377	0		2540.26449
378	1	IodoAcet:12	2982.48678
379	0		3156.53709
380	2	IodoAcet:2,IodoAcet:12	2691.24921
381	1	IodoAcet:5	2558.11647
382	0		2970.51192
383	0		2506.31786
384	0		2661.28807
385	1	IodoAcet:15	2795.36058
386	0		2431.18658
387	0		2301.15614
388	1	Plus1Oxy:4	2959.39484
389	3	IodoAcet:4,IodoAcet:14,IodoAcet:21	2481.12968
390	0		2471.25426
391	0		2577.23459
392	0		2383.10345
393	0		2306.08563
394	0		2786.31799
395	0		2436.108
396	2	IodoAcet:9,IodoAcet:12	2478.16706
397	0		2215.12722
398	0		3123.53338
399	1	IodoAcet:7	2724.30724
400	0		2497.26991
401	2	IodoAcet:13,IodoAcet:23	3161.49022
402	1	IodoAcet:20	2332.20304
403	0		2518.18624
404	0		2492.27975
405	1	IodoAcet:2	2892.50539
406	0		2367.18916
407	2	IodoAcet:12,IodoAcet:15	2281.04074
408	0		2282.12901
409	0		2191.01021
410	1	IodoAcet:14	2262.1102
411	1	IodoAcet:5	2435.23651
412	2	IodoAcet:5,IodoAcet:12	2781.29482
413	0		2774.36223
414	1	IodoAcet:21	2749.29038
415	0		2540.28829
416	0		3005.39879
417	0		2613.32446
418	2	IodoAcet:1,IodoAcet:24	2612.22093
419	1	IodoAcet:21	2619.20964
420	0		3033.5545
421	1	Plus1Oxy:5	2522.16408
422	0		2600.04216
423	2	IodoAcet:7,IodoAcet:8	2275.96255
424	0		3019.49257
425	0		2392.23855
426	0		2967.47653
427	0		2951.34731
428	0		2873.32888
429	0		2618.4179
430	0		3345.57478
431	0		2489.23247
432	2	IodoAcet:3,IodoAcet:6	2406.0725
433	2	IodoAcet:1,IodoAcet:11	2485.1001
434	0		2494.03215
435	0		2474.26516
